ShaShiYaYi 	¿Por qué sigue el sufrimiento en nuestro pueblo?	¿Paita abisatsine anampiki eirorika atijayetajitsi?
ShaShiYaYi 	Voy a decirles que se solidaricen conmigo en la casa	Nonkamante jaoka ikantari isabikajeiti ashaninka ariorika iretanakiaro onkantiya ibetsike aparoni pankotsi
ShaShiYaYi 	El arcoiris se apodera de las presas de una enfermedad, para que no puedan apagarse y llover.	Iroojeitake okapee ñaanatirori aparo koashireantsi kaari amateri aisati amateri
ShaShiYaYi 	Antiguamente se pinta a un guerrero guerrero	Perani ipotsotaroni ashaninka obayeri kari tsarobanetatsi
ShaShiYaYi 	El sanado articula la articulación de la carne.	Yora ñaanatatsiri iñaanati aparo kenkeshireantsi tee yoyaakotero akaantsi
ShaShiYaYi 	Pero cuando vieron que era grande la maldad,	Ari amenajeitero jaoka okantayetari iñaane ashaninka
ShaShiYaYi 	El otro le contestó: “ No tengo más que dos preguntas.	Yora pashini ikantiri: "Abiro nianki naro apitabakachari 2"
ShaShiYaYi 	También había seres humanos que vivían en los pueblos, en los bosques y en la arena.	Aisati itimi itsipasatipee atiri sabikayetatsiri nampitsitakoripeeki keshiiki aisati impanekiteki
ShaShiYaYi 	Los paisanos son bastantes y violentos en los asuntos de la tierra, por eso son impostores y rebeldes.	Ashaninkape timatsi osheki iyotakoyetiro yobetsikayetiro potsorentsipe irobametsatantyarori yobetsikayetiri, te onkoityempaji iramanantayetero yayetiro sabikimoyetiriri inampiki
ShaShiYaYi 	La mujer [la mujer] tiene 30 ardillas con 5 petates, 11 canasta, 8 collares y lino.	Aparo tsinane anake opimanti 30 ampitarentsipe 5 shitashintsi, 11 kantiri, 8 jebarentsi aisati pishibakimentotsi
ShaShiYaYi 	[El hombre y la mujer] pasaron [la ropa] dentro de un hueco, [la mujer y el hombre] joven, [la joven], muy grande y grande], allí se cansó, “mueve [la tela], la pintó [la tela],	Ariorika asampitakeri aisati ankenkitsatakakero tsinane jeri shirampari, ebankari, antyarokona aisati antyashipari ari amitakotake amenakoyetajero abisayetakerori atijayetiri meka
ShaShiYaYi 	Vas a llegar, vas a tener una casa.	Impoiniji pijate pimonkarataitero otsobi aparo pankotsi
ShaShiYaYi 	Establecer los parámetros de eficiencia de los Consejos de Seguridad de la Autoridad Nacional y sus funciones	Irootake oka monkaratakantirori maaroni aparotakotiroripee antantayetarori ashi intantanakearori aisati otsonkantyari ora kenketsatantsi
ShaShiYaYi 	Se reúnen todos los días, para participar de las tres actividades	Apatojeitani maaroni kitaiteriki, apatirokea ora mabasato tee apatotyaji
ShaShiYaYi 	¿Cuál es el volumen que tiene la foto y la pregunta por la mujer?	¿Jaoka okarati pishibakintsi anake opimanteri tsinane?
ShaShiYaYi 	La lámpara de la mujer	Tsompirontsi ashi tsinane
ShaShiYaYi 	Vamos a comer.	Tsame akenkitsabete
ShaShiYaYi 	Toda la gente se queja de las cosas que pasan	Inajeitanake maaroni irioripee ibeshirianaka
ShaShiYaYi 	Ella se alimenta de muchos gusanos y de muchas enfermedades	Irojeitake oshekiasanotatsiri apiipinita
ShaShiYaYi 	Fariseo: Por su parte, los sacerdotes principales reciben instrucciones de los jefes de los sacerdotes y de los ancianos del pueblo, de que les advierta que no lo reciban en sus casas.	Obametantatsiri: Piñatsatakayari jananeki1 impairiayetero aparope shiyakantsi, irokantacha eiro pamenakairi shiyakantsipe aririka impairianakero aparope
