Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	LEE NDI'IN LO'O NE' SE'EN LYI'YA LOO CHIJYA' 
Mexican_constitution 	Constitución publicada en el Diario Oficial de la Federación el 5 de febrero de 1917 	Lee nu ngua'an scua re, mdo'o na loo QUITYI 'IN BSYA CHIJYA' cua' 5 lo'o coo' febrero 'in yjan 1917 
Mexican_constitution 	Última reforma publicada DOF 27-01-2015 	Xiya' ti mdyi'o cui cha' re lo' nguinu scua na loo quityi 'in bsya Chijya' cua' 27-05-2015 
Mexican_constitution 	El C. Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de la Nación, con esta fecha se ha servido dirigirme el siguiente decreto: 	NAN' nu lca que 'in x'nan sindatu 'in ne' Chijya' a cunta lcan Bsya 'in ne', tsaan re ñii quinu scua sca Lee nu cuiti 'in ne'. 
Mexican_constitution 	VENUSTIANO CARRANZA, Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de los Estados Unidos Mexicanos, hago saber: 	NAN' YU VENUSTIANO CARRANZA. Nu lca que 'in x'nan sindatu 'in ne' Chijya' nu lca Bsya 'in ne' nchca tin' cajlyo ti 'um cha' re: 
Mexican_constitution 	Que el Congreso Constituyente reunido en esta ciudad el 1o. de diciembre de 1916, en virtud del decreto de convocatoria de 19 de septiembre del mismo año, expedido por la Primera Jefatura, de conformidad con lo prevenido en el artículo 4o. de las modificaciones que el 14 del citado mes se hicieron al decreto de 12 de diciembre de 1914, dado en la H. Veracruz, adicionando el Plan de Guadalupe, de 26 de marzo de 1913, ha tenido a bien expedir la siguiente: 	Si'yana nchgaa yu nu Ngua'an tñan 'in culyo cui cha' 'in Lee nguiyo' tucua yu quichen re culoo lo'o coo' diciembre 'in yjan 1916, si'ya cha' 'in sca quityi nu mxnu scua yu Bsya Chijya' cua' 'tñu lcua lo'o coo' septiembre 'in yjan can', tsaña'an mcha'an lee nu nchca jacua, cua' tilcua lo'o coo' septiembre cui' lee nu mdo'o cua' tichcua lo'o coo' diciembre 'in yjana 1914 nu nguinu scua quichen Veracruz xa nu mdya cula lo'o na sca cha' nu nchcui' ne' lo'o lca Plan de Guadalupe cui' cha' nu ngua'an scua cua' clanducua scua lo'o coo' marzo 'in yjan 1913 lo' nde tyaan cunta quityi re 'in um: 
Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS QUE REFORMA LA DE 5 DE FEBRERO DE 1857 	LEE NDI'IN LO'O NE' CHIJYA' NU MDYI'O CUI LOO LEE NU NGUINU SCUA TI' CUA' 5 LO'O COO' FEBRERO 'IN YJAN 1857 
Mexican_constitution 	Título Primero 	Cha' nu culoo 
Mexican_constitution 	Capítulo I 	Capitulo sca 
Mexican_constitution 	De los Derechos Humanos y sus Garantías 	Scasca cha' nu ntsu'hui suun 'in ne' qui'ni ca'an 'in ne' lo'o tso' cha' 'in lee 
Mexican_constitution 	Artículo 1º. 	Lee cuiya' 1. 
Mexican_constitution 	En los Estados Unidos Mexicanos todas las personas gozarán de los derechos humanos reconocidos en esta Constitución y en los tratados internacionales de los que el Estado Mexicano sea parte, así como de las garantías para su protección, cuyo ejercicio no podrá restringirse ni suspenderse, salvo en los casos y bajo las condiciones que esta Constitución establece. 	Nchgaa nten ndi'in se'en lyi'ya loo Chijya' ntsu'hui suun 'in ne' cu'ni 'in ne' nchgaa cha' nu nchcui' quityi re, a cunta lo'o nchgaa cha' nu m'ni cuiya' ne' Chijya' lo'o scasca quichen tnu, si'yana cuaña'an tca culaa lee can' 'in ne', lo' a tucui tca chcui ndijin uta lyaa na cha' tsu'hue can' 'in ne', cha' a sca la cha' nducui ncha'an 'in ne' tloo lee nu nchcui' quityi re. 
Mexican_constitution 	Las normas relativas a los derechos humanos se interpretarán de conformidad con esta Constitución y con los tratados internacionales de la materia favoreciendo en todo tiempo a las personas la protección más amplia. 	Nchgaa cha' nu nguinu scua, cui' cha' nu ntsu'hui cha' qui'ni ca'an 'in na, ña'aan cha' can' nchcui' quityi re a cunta lo'o nchgaa cha' nu m'ni cuiya' ne' Chijya' lo'o scasca quichen tnu, lo' ta yaa' lee can' 'in na nchgaa xaa. 
