Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	NDÄTHOT’I, HÑÄSÜMP O TE X E NI HNINI G A THO M’OND A 
Mexican_constitution 	Constitución publicada en el Diario Oficial de la Federación el 5 de febrero de 1917 	Ndäthot’ i Üdi ra Nthot’ i nu ra hyaxä ga̱tho M’ onda̱ ra ḵut’ a ra yoho zänä n’ a m’ o g̱uto ṟet’ a ma ’ yoto 1917 
Mexican_constitution 	Última reforma publicada DOF 27-01-2015 	Gätsi ra mfädi bi t’ ot’ i ka ra DOF 27-05-2015 
Mexican_constitution 	El C. Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de la Nación, con esta fecha se ha servido dirigirme el siguiente decreto: 	Nuṉu C. ndä mü m’̱etho fa̱di dähä bi nḏumi ra ndäthot’i, bi tsa̱kbi ra ndä nsü ne bi hoki M’onda̱, konge n’a ra pa di nun’a ra ndäthot’i ẖe’mi bi hogi. 
Mexican_constitution 	VENUSTIANO CARRANZA, Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de los Estados Unidos Mexicanos, hago saber: 	VENUSTIANO CARRANZA, m’̱etho m’̱u fa̱di dähä ̱ot’e ndänthot’i, bi mp̱ote ne bi hoki ka ra x̱eni hnini Mengu M’onda̱, ge di mango dä fädi. 
Mexican_constitution 	Que el Congreso Constituyente reunido en esta ciudad el 1o. de diciembre de 1916, en virtud del decreto de convocatoria de 19 de septiembre del mismo año, expedido por la Primera Jefatura, de conformidad con lo prevenido en el artículo 4o. de las modificaciones que el 14 del citado mes se hicieron al decreto de 12 de diciembre de 1914, dado en la H. Veracruz, adicionando el Plan de Guadalupe, de 26 de marzo de 1913, ha tenido a bien expedir la siguiente: 	Nu ya jä’i hmunts’i mp̱ote ̱othe ra ndäthot’i nuä ka ra nda hnini ra n’a ra pa ra zänä ret’a ma yoho n’a m’a g̱uto ṟet’a ma rato, ka ra ts̱edi ra ndäthot’i ẖe’mi bi ḇoni ne bi m’ät’i nu ra ṟet’a ma g̱uto ra zänä g̱uto di j̱eya ä, bi ḇoni di ge ra m’̱etho ndä, bi mfädi ne bi nhe nuä m’aä ha ra x̱eni goho. >Ne bi mpodi ka ra ṟet’a ma goho bi thoki ne bi thudi ya zänä ṟet’a ma goho, bi üni ra H Mponthä Majuani ka̱ts̱utho ra nṯot’̱e Lupe, ra n’ote ra zänä n’a m’o ṟet’ä ma hñu, xi xa hogi ra za xka thoki ngu jäna: 
Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS QUE REFORMA LA DE 5 DE FEBRERO DE 1857 	NDÄTHOT’I HNÄNSÜMPOTE X E NI HNINI G A THO M’OND A XA MPÖDI RA K U T’A RA PA YOHO ZÄNÄ N’A M’O HÑÄTO YOHO N’OTE NE ’YOTO 
Mexican_constitution 	Título Primero 	Thuts’i N’a 
Mexican_constitution 	Capítulo I 	Heke I 
Mexican_constitution 	De los Derechos Humanos y sus Garantías 	Ya te tsa̱ di hoki ya jä’i 
Mexican_constitution 	Artículo 1º. 	X̱eni n’a 1o. 
Mexican_constitution 	En los Estados Unidos Mexicanos todas las personas gozarán de los derechos humanos reconocidos en esta Constitución y en los tratados internacionales de los que el Estado Mexicano sea parte, así como de las garantías para su protección, cuyo ejercicio no podrá restringirse ni suspenderse, salvo en los casos y bajo las condiciones que esta Constitución establece. 	Ka ya Hnini ha̱i M’onda̱ nga̱tho ya jä’i ge tsa̱ di hoki te ja ka ya hnini ge xi xa mbädi ra Ndä Thot’i ne konge ya hmä ya nza̱yo mengu n’an’yo hnini di ge ka ra Hnini ha̱i M’onda̱ tsa̱ di hoki ge di uat’i, ge njap’̱u di nu pa di mädi ne di nu, pa di thoki nun’a ge xi di tẖegi hindi hmädi te di hoki ya jä’i, ha nu’̱u m’a ra ̱u tsa̱ te di thoki ngu xa thuts’i ka ra Ndä Thot’i xa mä. 
Mexican_constitution 	Las normas relativas a los derechos humanos se interpretarán de conformidad con esta Constitución y con los tratados internacionales de la materia favoreciendo en todo tiempo a las personas la protección más amplia. 	Ya hmända m̱u’i pa te tsa̱ di hoki ya jä’i ngu di mfädi xa mä ra ngutho di gen’a ra Thot’i di ge ya nza̱yo mengu n’an’yo hnini ge mädi nga̱tho ya pa ya jä’i xi dra nxidi ra hmädi. 
Mexican_constitution 	Todas las autoridades, en el ámbito de sus competencias, tienen la obligación de promover, respetar, proteger y garantizar los derechos humanos de conformidad con los principios de universalidad, interdependencia, indivisibilidad y progresividad. 	Nga̱tho ya nza̱ya̱, ge xi ya ts’̱edi pa di hoki, pa di japi di hoki ̱u te tsa̱ di mp̱efi pa di thoki, di mädi, di thandi ne di m̱up’̱u zäm’̱u pa ya jä’i pa nga̱tho ka ya m’̱ui nga̱tho te ja, ya n’an’yo, ya n’atho ne ua di pengi. 
Mexican_constitution 	En consecuencia, el Estado deberá prevenir, investigar, sancionar y reparar las violaciones a los derechos humanos, en los términos que establezca la ley. 	Kongehya, ra X̱eni Hnini ge ra za̱ di beni ha di jäpi pa di thoki ra hño, di thoni ra mfädi, di nza̱yo to hingi hoki ra n’an’yo, ne di nja ts’̱utbi pa ya jä’i ̱u to tho gä m̱u’i ̱u di gehya ya jä’i, ngu xa mä ra hmända. 
Mexican_constitution 	Está prohibida la esclavitud en los Estados Unidos Mexicanos. 	Hmä ge ndä t’̱utsa̱ ya jä’i m’̱ui ka ya X̱eni Hnini Nga̱tho M’onda̱. 
Mexican_constitution 	Los esclavos del extranjero que entren al territorio nacional alcanzarán, por este solo hecho, su libertad y la protección de las leyes. 	Ya to t’̱utsa̱ ya mengu nẕubi ̱u ts̱oẖo ka ra ha̱i M’onda̱, ge di ts̱ots’e nuya, pa di tẖegi ne di mädi ya hmända. 
Mexican_constitution 	Queda prohibida toda discriminación motivada por origen étnico o nacional, el género, la edad, las discapacidades, la condición social, las condiciones de salud, la religión, las opiniones, las preferencias sexuales, el estado civil o cualquier otra que atente contra la dignidad humana y tenga por objeto anular o menoscabar los derechos y libertades de las personas. 	Hingi tsa̱ da t’̱utsa̱ ya jä’i num’̱u ngu ra mengu ka ya hnini hñätho, ne ha ra ñ’̱oẖo ua ra m’̱ehñä, ra j̱eya gä m̱ets’i, ha nx̱otho ra jä’i, hä ua hin’ä bojä, ha hingi da̱thi, ne te ma nijä pa, xa nthäti ua hin’ä ne ha ua ma n’a ngu embi t’̱uni ra m’̱ui gä m̱u’i di tẖegi di m̱u’i ra n’yo ya jä’i. 
Mexican_constitution 	Artículo 2º. 	Xeni yoho 2°. 
Mexican_constitution 	La Nación Mexicana es única e indivisible. 	Ra gotho ndähnini M’onda gesenu ne hingi negi. 
Mexican_constitution 	La Nación tiene una composición pluricultural sustentada originalmente en sus pueblos indígenas que son aquellos que descienden de poblaciones que habitaban en el territorio actual del país al iniciarse la colonización y que conservan sus propias instituciones sociales, económicas, culturales y políticas, o parte de ellas. 	Gotho ndähnini M’onda petsi xangu ya mui nfädi m’etho ne mutbu xa ehe ma yamu ya hnini ge xi xa ntungi gotho ka ya xeni habu mui gotho k ara mui M’onda ge xi mutp’ia k ara ndähnini M’onda nu a mi ndui ra hñämbi hai nep’ia ge xi petsutho ya muise nu mu ya bi muntsi gotho, hojä muimfädi ne ya hñänsümote, ne u mara ya metseyu. 
Mexican_constitution 	La conciencia de su identidad indígena deberá ser criterio fundamental para determinar a quiénes se aplican las disposiciones sobre pueblos indígenas. 	Dä m’aädi ne dä nhe ra mui hñätho ge xi xa za pa da hñäki toä da m’aä ha da jäpi di hoki u ne nu k ara hnini hñätho. 
Mexican_constitution 	Son comunidades integrantes de un pueblo indígena, aquellas que formen una unidad social, económica y cultural, asentadas en un territorio y que reconocen autoridades propias de acuerdo con sus usos y costumbres. 	Geyu ya hnini muhu ma ra ya hnini hñätho, ge yu dä muntsi ma n’a ra gotho hnini, bojä ne ya mui nfädi m’etho, mupu ka ndähnini ne ge xi pädi hanja di ñetsi ya nzaya di u ya mui nfädi zämu hoki. 
