Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	TLANEJNEUILYOTL TLEN SENTIKMASEUALMEJ 
Mexican_constitution 	Constitución publicada en el Diario Oficial de la Federación el 5 de febrero de 1917 	Tlanejneuilyotl katli mopatimakak pan mexko amatlamoyauali pan makuili tonali tlen ome metstli, tlen xiuitl naui tsontli, uan kaxtolpouali uan majtlaktli uan chikome 
Mexican_constitution 	Última reforma publicada DOF 27-01-2015 	Moyankuitili ipan nitonali moixpanti DOF 27-05-2015 
Mexican_constitution 	El C. Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de la Nación, con esta fecha se ha servido dirigirme el siguiente decreto: 	Tlen achtiui mexkotlanauatijketl, tlen axkayotl chiuali tlalotl, pan ni tonali techmachiltia pan ni amatlamoyauali: 
Mexican_constitution 	VENUSTIANO CARRANZA, Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de los Estados Unidos Mexicanos, hago saber: 	VENUSTIANO CARRANZA, tlen achtiui mexko tlanauatijketl, tlen axkayotl chiuali tlalotl tlen mexkotlali, ni mits machiltia: 
Mexican_constitution 	Que el Congreso Constituyente reunido en esta ciudad el 1o. de diciembre de 1916, en virtud del decreto de convocatoria de 19 de septiembre del mismo año, expedido por la Primera Jefatura, de conformidad con lo prevenido en el artículo 4o. de las modificaciones que el 14 del citado mes se hicieron al decreto de 12 de diciembre de 1914, dado en la H. Veracruz, adicionando el Plan de Guadalupe, de 26 de marzo de 1913, ha tenido a bien expedir la siguiente: 	Tlen machiotinin mexko senkotili monechikokej pan ni altepetl pan achtiui tonali, pan majtlaktli uan ome metstli tllen xiuitl naui tsontli, uan kaxtolpouali majtlaktli uan chikuasen, tlen tlajto amatlanonojtsaloli pan tonali majtlaktli uan chiknaui, tlen chiknaui metstli tlen pan yani xiuitl, tlen kalti kichijki achtiui nechikoli, tlen katli tlajtoua pan naui tlaijtoli, katli kipatlakej pan majtlaktli uan naui tonali tlen ni metstli mochijki pan amatlamoyauali tlen tonali majtli uan ome, tlen xiuitl naui tsontli uan kaxtolpouali uan majtlaktli uan naui, momakak pan H. Tlaltokayotl Veracruz, uan kiamatlatskiltijke pan tlaltolpanolistli tlen Guadalupe, tlen sempouali uan chikasen tonali, uan pan eyi metstli tekipanoli, tlen xiuitl naui tsontli uan kaxtolpouali uan majtlaktli uan eyi, tlen kakiuili nelkualtili temaka inoj: 
Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS QUE REFORMA LA DE 5 DE FEBRERO DE 1857 	TLANEJNEUILYOTL TLEN SENTIKMASEUALMEJ 
Mexican_constitution 	Título Primero 	Iyojok Tlaijtolnechikoli 
Mexican_constitution 	Capítulo I 	Se Tekpanali 
Mexican_constitution 	De los Derechos Humanos y sus Garantías 	Sesenkatsitsij Tepanitali 
Mexican_constitution 	Artículo 1º. 	Sentipaj tlaijtoli. 
Mexican_constitution 	En los Estados Unidos Mexicanos todas las personas gozarán de los derechos humanos reconocidos en esta Constitución y en los tratados internacionales de los que el Estado Mexicano sea parte, así como de las garantías para su protección, cuyo ejercicio no podrá restringirse ni suspenderse, salvo en los casos y bajo las condiciones que esta Constitución establece. 	Pan mexkotlali nochi maseualmej kipiasej sesenkatsitsij tepanitali ixmatilosej ipanTlanejnewilyotl uan tlajtolsenkauali ueyi sentikajnechikoli katlimexkotlali itstokej, uan nokia tepanitali kin manauia, tlayejyekoli uan amo uelis kinkixtilisej tlan amo tlajtoua ipan ni tlanejneuilyotl kijtoua. 
Mexican_constitution 	Las normas relativas a los derechos humanos se interpretarán de conformidad con esta Constitución y con los tratados internacionales de la materia favoreciendo en todo tiempo a las personas la protección más amplia. 	Ni tekpanyotl inon itstinij ixkayotin kiixpantlalisej nelneliya ika ni Tlanejnewilyotl uan ikatonelueyi teyoualtekpiloltlakamejnochi tlen nika asi analieuanij maseualmej kinmanauia. 
Mexican_constitution 	Todas las autoridades, en el ámbito de sus competencias, tienen la obligación de promover, respetar, proteger y garantizar los derechos humanos de conformidad con los principios de universalidad, interdependencia, indivisibilidad y progresividad. 	Nochi tekitinimej, ipan inin kakiuiltlanauatisej, kipiaj kichiwasen tenextilisen, tlaipanitali, manauili uan kipia itstinij ixkayotin kiijtoua ika peualistli tlen iuexka, tekikalmej, motlajkotlapanas uan tlayekantiasej. 
Mexican_constitution 	En consecuencia, el Estado deberá prevenir, investigar, sancionar y reparar las violaciones a los derechos humanos, en los términos que establezca la ley. 	Nelkualtisej, tlen tlateyouali tlamachiltili, tlatemoli, tlaijiyouiliuan tlanelchichiuas tlaixpanolmej ika itstinij ixkayotin, ipan tlajtolketsali katli kitlaliya machiotlajtoli. 
Mexican_constitution 	Está prohibida la esclavitud en los Estados Unidos Mexicanos. 	Majmauilo tlen tlaijiowili nepaj tlateyolkachopi maseualmej. 
Mexican_constitution 	Los esclavos del extranjero que entren al territorio nacional alcanzarán, por este solo hecho, su libertad y la protección de las leyes. 	Inin tlaijiowili kachopimej katli kalaki mexkotlali kiaxiliya, uan tlamanauilistli ika nauatilmej. 
Mexican_constitution 	Queda prohibida toda discriminación motivada por origen étnico o nacional, el género, la edad, las discapacidades, la condición social, las condiciones de salud, la religión, las opiniones, las preferencias sexuales, el estado civil o cualquier otra que atente contra la dignidad humana y tenga por objeto anular o menoscabar los derechos y libertades de las personas. 	Majmauilo nochi tlaixpinaualistli ika maseualtsitsi katli euani tomexkotlali, siuatl uan tlakatl, ininxiui, uan katli amo ueli motekipanolia, maseualmej, melauatlajkayotl, teotlanejnewili, tlatsintokilistli, kualtiloni pakilistli, sanimanyotl nemili o akinijki kichiuas tlaixpanoli ika maseual tlaixpinauali uan kipia tamantli tlaixkotonali o tlaijtlakoli tlen tlamelaualistli uan tlamakixtiistli ika maseualmej. 
Mexican_constitution 	Artículo 2º. 	Ometipaj tlaijtoli. 
Mexican_constitution 	La Nación Mexicana es única e indivisible. 	Mexkotlali amo uelis motlajkotlapanas. 
Mexican_constitution 	La Nación tiene una composición pluricultural sustentada originalmente en sus pueblos indígenas que son aquellos que descienden de poblaciones que habitaban en el territorio actual del país al iniciarse la colonización y que conservan sus propias instituciones sociales, económicas, culturales y políticas, o parte de ellas. 	Pan ni mexkotlali itstokej maneltikej maseualikiniuaj katli momelaua pan teyoualmej, uan ni ualaui tlen saniki ya itstoya pan ni mexkotlal tlen uajka ayamo asitoya analieuanijuan kipia ininkalchikolis, tomintekitlaxtlauili, uejkapantlalnamikili uan tlamantli tlaneneuili. 
Mexican_constitution 	La conciencia de su identidad indígena deberá ser criterio fundamental para determinar a quiénes se aplican las disposiciones sobre pueblos indígenas. 	Ixtlimaseualtlaneneuili ni katli ipati ikayampa nesis ajkeyamej monelkualtia pan teyoual maseualmej. 
Mexican_constitution 	Son comunidades integrantes de un pueblo indígena, aquellas que formen una unidad social, económica y cultural, asentadas en un territorio y que reconocen autoridades propias de acuerdo con sus usos y costumbres. 	Teyoualmaseualmej katli kichiua se sentikanok nechikolistli, tomintekitlaxtlauili, uan uejkapantlalnamikili, tlen itstoke pan se almontlali uan kipia inintekichiuanij katli yajuanti kintokaxtia ika uejkapantlalnamikilis. 
Mexican_constitution 	El derecho de los pueblos indígenas a la libre determinación se ejercerá en un marco constitucional de autonomía que asegure la unidad nacional. 	Ixitlaualis maseualteyoualmej kipia majkauilistli, mochiuas tlen tlajtoua tekpantlajtoli ka inemajkayotlchiuali tlen ka motemachis pan ueyisentijkonechikoli. 
