Wikipedia+Wikibooks 	Se habla mucho de los videos que aparecen en el Caxtil ⁇  (quiero decir:) La Constitución Política de los Estados Unidos Mexicanos y las leyes de la materia.	Somos tu y yo la serie videos Caxtiltlahtōlli (quihtoa [kaxtilyahto:li]) ītōcā cē tlahtōlli motlahtoa miaquīntīn tlācatiyān cemānāhuac quēmeh Caxtillān, Mēxihco.
Wikipedia+Wikibooks 	El libro de la pintura describe su obra de arte.	Inīn āmoxtli quitlahtoa quēn moihcuiloa nozo motlahtoa Inglatlahtōlli.
Wikipedia+Wikibooks 	Se deposita el ejercicio del Supremo Poder Ejecutivo de la Unión en un Estado de derecho público.	Mochīuhtlahtōl Artículo Sustantivos Adjetivos Adverbios Tōcātzin Tlapōhualli Sintaxis Nāhuatlahtōlli (quihtoa [na:watlahto:li]) ītōcā cē tlahtōlli motlahtoa Mēxihco.
Wikipedia+Wikibooks 	El libro de la pintura pinta su obra La Casa Blanca.	Inīn āmoxtli quitlahtoa quēn moihcuiloa nozo motlahtoa Caxtillahtōlli.
Wikipedia+Wikibooks 	Artículo Decimoséptimo.	Mochīuhtlahtōl Artículo Sustantivos Adjetivos Adverbios Tōcātzin Tlapōhualli Sintaxis
Wikipedia+Wikibooks 	Se deposita el ejercicio del Supremo Poder Ejecutivo de la Unión en un solo individuo, que se denominará "Presidente de los Estados Unidos Mexicanos."	Mochīuhtlahtōl Artículo Sustantivos Adjetivos Adverbios Tōcātzin Tlapōhualli Sintaxis Inglatlahtōlli (quihtoa [inglatla'to:li]) ītōcā cē tlahtōlli motlahtoa miaquīntīn tlācatiyān cemānāhuac quēmeh Inglatlālpan, Tlacetilīlli Tlahtohcāyōtl.
Wikipedia+Wikibooks 	211.	211.
Wikipedia+Wikibooks 	Amélie Nothomb (Etterbeek 9.07 1966 - >>>>>>>	Amélie Nothomb (Etterbeek 9.07 1966 - ) ītōca belgica huēyi tlahcuilōni (franciatlahtōlli).
Wikipedia+Wikibooks 	146.	146.
Wikipedia+Wikibooks 	¿Por qué acaso nunca?	¿Āc ahzo aic?
