Bolivian_constitution 	CONSTITUCIÓN POLÍTICA DEL ESTADO 	ESTADOQ KURAQ KAMACHIYNIN 
Bolivian_constitution 	Aprobada en el Referéndum de 25 de Enero de 2009 y promulgada el 7 de febrero de 2009. 	Iskay chunka phisqayuq p’unchaypi, qhaqmiy killapi iskay waranqa isq’unniyuq watapi Referéndum nisqapi ari nikurqa, qanchis p’unchaypitaq jatun puquy killapi iskay waranqa isq’unniyup watapi qhilqasqata urqhukurqa. 
Bolivian_constitution 	PREÁMBULO 	QALLARINAPAQ ÑAWPAQ RIMARIY 
Bolivian_constitution 	En tiempos inmemoriales se erigieron montañas, se desplazaron ríos, se formaron lagos. 	Ñawpaqpachakunapi urqukuna parlaq kanku, mayupis puriq, qhuchata qhuchachaspa. 
Bolivian_constitution 	Nuestra amazonia, nuestro chaco, nuestro altiplano y nuestros llanos y valles se cubrieron de verdores y flores. 	Amazonia nisqa, chacos nisqa, altiplanos nisqa, llanos nisqa, valles ninchiqkuna ima q’umirkunawan, t’ikakunawan qhataykukurqanku. 
Bolivian_constitution 	Poblamos esta sagrada Madre Tierra con rostros diferentes, y comprendimos desde entonces la pluralidad vigente de todas las cosas y nuestra diversidad como seres y culturas. 	Kay pachamamapiqa tukuy laya runa llaqtachakurqa; chaymantapacha tukuy laya kawsayniyuq kanku, kawsakunku. Ajinata llaqtanchista yurichinchis nitay ñak’arichiy chiqninakuy karqachu. 
Bolivian_constitution 	Así conformamos nuestros pueblos, y jamás comprendimos el racismo hasta que lo sufrimos desde los funestos tiempos de la colonia. 	Jawa llaqtamanta runa chamusqanmantapacha ñak’ariypi chiqninakuypi kawsarqanchis. 
Bolivian_constitution 	El pueblo boliviano, de composición plural, desde la profundidad de la historia, inspirado en las luchas del pasado, en la sublevación indígena anticolonial, en la independencia, en las luchas populares de liberación, en las marchas indígenas, sociales y sindicales, en las guerras del agua y de octubre, en las luchas por la tierra y territorio, y con la memoria de nuestros mártires, construimos un nuevo Estado. 	Bolivia suyuqa tukuy laya runakuy , ñawpaq kawsay sunqunmantapacha, ñawpaq maqanakuypi, indigenasta ñak’arichisqankumanta uqharikuypi, sapan kamachikuypi, mana ñak’arinapaq maqanakuypi, llaqta runa , tantasqa runa sindicales nisqa puriyninpi, yakumanta maqanakuypi qhuya raymi killapi maqanakuypi, jallp’amanta ima maqanakuypi, wañusqakunata yuyarispa musuq Estadota uqharinchis. 
Bolivian_constitution 	Un Estado basado en el respeto e igualdad entre todos, con principios de soberanía, dignidad, complementariedad, solidaridad, armonía y equidad en la distribución y redistribución del producto social, donde predomine la búsqueda del vivir bien; con respeto a la pluralidad económica, social, jurídica, política y cultural de los habitantes de esta tierra; en convivencia colectiva con acceso al agua, trabajo, educación, salud y vivienda para todos. 	Estadoka tukuy kikin kasqanpi sayakun, chantapis sapan yuyaychakun, yanapakuspa, aynikuspa k’achata tiyakuspa, amallapis tukuypaq kanan tiyan ; sumaq kawsaypipuni kawsakunan tiyan, imatachus puquchikusanku , imaynachus kanku, kamachiyninkuta, runaq kawsayninta ima yupaychaspa tukuywank’achata tiyakunanchis tiyan ; tukuypis yakuyuq, llank’anayuq, yachaqanayuq, wasiyuq, mana unqusqa ima kawsakunanchis tiyan. 
Bolivian_constitution 	Dejamos en el pasado el Estado colonial, republicano y neoliberal. 	Manaña Estado colonial, republicano, neoliberal nisqakunapi kawsasanchisñachu. 
Bolivian_constitution 	Asumimos el reto histórico de construir colectivamente el Estado Unitario Social de Derecho Plurinacional Comunitario, que integra y articula los propósitos de avanzar hacia una Bolivia democrática, productiva, portadora e inspiradora de la paz, comprometida con el desarrollo integral y con la libre determinación de los pueblos. 	Tukuyninchis Estado Unitario Social de Derecho Plurinacional comunitario nisqata uqharisanchis, jinamanta Bolivia suyunchispi tukuypis parlariyta atinanpaq, ñawpaqman thaskirinanpaq, mana maqanakuy kananpaq, chaykunata qhawarispa, tukuy llaqtakunapis kasqankumanjina kawsakunankupaq kay Estadota uqharinanchis tiyan. 
Bolivian_constitution 	Nosotros, mujeres y hombres, a través de la Asamblea Constituyente y con el poder originario del pueblo, manifestamos nuestro compromiso con la unidad e integridad del país. 	Ñuqanchis, warmikuna qharikuna Asamblea Constituyentewan llaqtamanta atiyninwan uk sunqullawan kay Bolivianchista thaskirichinanchis tiyan. 
Bolivian_constitution 	Cumpliendo el mandato de nuestros pueblos, con la fortaleza de nuestra Pachamama y gracias a Dios, refundamos Bolivia. 	Llaqtanchiskunaqpata kamachiyninta ruwaspa, pachamamaqpata kallpanwan, Apunchista pachi nispa, watiqmanta Bolivianchista yurichinchis. 
