Mexican_constituition 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	JA JASTAL WA STOJB’ESE´ JA POLITIKA B’A ESTADOS UNIDOS MEJIKANOSI 
Mexican_constituition 	Constitución publicada en el Diario Oficial de la Federación el 5 de febrero de 1917 	Ja jastal wa stojb’ese`i tini elel b’a Dyaryo Opisyal ja b’a Tsomane` ja b’a 5 syajtab’il ja b’a jebrero b’a 1917 
Mexican_constituition 	Última reforma publicada DOF 27-01-2015 	Ja b’a tsa`anil tukb’exi b’a pukxi` 7-05-2015 
Mexican_constituition 	El C. Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de la Nación, con esta fecha se ha servido dirigirme el siguiente decreto: 	Nakulíwika a’lá kú osíiro osirúami; makói kimakói, osá makói alí kicháwisa makoi bikía, alí buyanáaro kiti si’néame ikíwima, makói nayó rawé inárachi julio mechá bamíali okuá míli makói bilé: 
Mexican_constituition 	VENUSTIANO CARRANZA, Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de los Estados Unidos Mexicanos, hago saber: 	VINUSTIÁNI KARÁNSI, né wa’lúala sontálisi Kostitusionáli, né wa’lúala nuláame Isélwala je’ná Istáro Napawítame Misikáni, á né ikíirima: 
Mexican_constituition 	Que el Congreso Constituyente reunido en esta ciudad el 1o. de diciembre de 1916, en virtud del decreto de convocatoria de 19 de septiembre del mismo año, expedido por la Primera Jefatura, de conformidad con lo prevenido en el artículo 4o. de las modificaciones que el 14 del citado mes se hicieron al decreto de 12 de diciembre de 1914, dado en la H. Veracruz, adicionando el Plan de Guadalupe, de 26 de marzo de 1913, ha tenido a bien expedir la siguiente: 	Napawíle si’néami jáwami konkreso muchúwami napawíka ra’ícha a’lá natúili 1º sébachi mechá risiembre bamíali 1916, bachá a’lá owísa si’néami osaká bajurékisa makói ikimakói rawé mechá setiembre échi yéna á bamíbali, osaká nijále jáwami bilé jefatura, né mápu rigá aní nulalíwami osirúami nayóana chú regá nakulíwale makói nayó rawé a nokáli a’lá ku osayá, a’lí makói okuá rawé cho sébachi mechá risiembre bamíali bilé míli kimakói siento makói bikía inárachi mapu a’lí ne a’lá kú newále, ra’íchale mapu buyánale konkreso mi veracruz ayéna cho je’ná osiiro oselíchi plan de guadalupe makói usáni rawé sébachi marzo mechá bamíali bilé míli kimakói siento makói bikía, a’lá né walaká buyánale: 
Mexican_constituition 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS QUE REFORMA LA DE 5 DE FEBRERO DE 1857 	KOSTITUSIÓNI POLÍTIKI NULÁAMI JÉMI O’MÁANA KAWÍ MÉSIKO ESTADOS UNIDOS MEXICANOS, ALÁ KU OSIIRO MALÍ RAWÉ SEBACHI MECHA FEBRERO, BILE MILI OSÁ NAYÓ SIENTO MALISA MAKÓI KICHÁWI INÁRACHI BAMÍBALE 
Mexican_constituition 	Título Primero 	Rewalí Biléwala 
Mexican_constituition 	Capítulo I 	Kapítuli l 
Mexican_constituition 	De los Derechos Humanos y sus Garantías 	Échi rerécho Umáni a’li kípu karantíi 
Mexican_constituition 	Artículo 1º. 	Artíkuli 1o. 
Mexican_constituition 	En los Estados Unidos Mexicanos todas las personas gozarán de los derechos humanos reconocidos en esta Constitución y en los tratados internacionales de los que el Estado Mexicano sea parte, así como de las garantías para su protección, cuyo ejercicio no podrá restringirse ni suspenderse, salvo en los casos y bajo las condiciones que esta Constitución establece. 	Nerárami je’ná kostitusionichi a’li bo’námilika katewárame iyé Istáro Mijikáni sí o’síkame níisa, ayéna cho á níwima karantí á ku’wírale nirá, napi iyé nelíwame ké okwábi nirá níima tabilé ‘yéerami cho, pé ayéna ‘á napi a’li jaréana ra’íchale je’ná kostitusioni anisáa ka. 
Mexican_constituition 	Las normas relativas a los derechos humanos se interpretarán de conformidad con esta Constitución y con los tratados internacionales de la materia favoreciendo en todo tiempo a las personas la protección más amplia. 	Yé nulalí á chéwikame échi Derecho Umáni á machirúame níima sébali nerá jé’ná kostitusióni yúa a’li échi bo’námilika katéwarame yé ra’íchale nerá á ku’wíraka sinibí échi pagótame ‘wé a’lá tibútami. 
Mexican_constituition 	Todas las autoridades, en el ámbito de sus competencias, tienen la obligación de promover, respetar, proteger y garantizar los derechos humanos de conformidad con los principios de universalidad, interdependencia, indivisibilidad y progresividad. 	Su’wábaka iséligame, mapu ikiná á noóchaga noká á níwe nulelí napi olásima, riwíiwaka, tibútika a’li sebárika yé rerécho umáni napi regá aní chokíala o’mawichimóba, anárinakurika, ké su’láka a’li minakaenásika. 
Mexican_constituition 	En consecuencia, el Estado deberá prevenir, investigar, sancionar y reparar las violaciones a los derechos humanos, en los términos que establezca la ley. 	A’li bela istáro ko ayéna bachá ruwiméa, jiyétuma, rikírala a’li akaréwama échi ké ewárame rerecho umáni kíta, napi riká aní échi nulalí. 
Mexican_constituition 	Está prohibida la esclavitud en los Estados Unidos Mexicanos. 	Ké nakiwá ralámuli bukéliwala jéni Istáro Uniro Mijikáni. 
Mexican_constituition 	Los esclavos del extranjero que entren al territorio nacional alcanzarán, por este solo hecho, su libertad y la protección de las leyes. 	Ralamulibukú ‘mí bo’námika i’síkami o’makawíwalachi á sebárima, pé yé jípi nerá, kípu binosu’láwala a’li tibúala nulalí kíte níwama. 
Mexican_constituition 	Queda prohibida toda discriminación motivada por origen étnico o nacional, el género, la edad, las discapacidades, la condición social, las condiciones de salud, la religión, las opiniones, las preferencias sexuales, el estado civil o cualquier otra que atente contra la dignidad humana y tenga por objeto anular o menoscabar los derechos y libertades de las personas. 	Ké nakiwá suwába chakéwala ‘nátika pé a’wíala nirá a’li nasionáli, jénirala, bamíala, ké oméramila, napi rigá beté, échi naulítika ma, onorúumila, aniwáala, na’wísikiala, niwíkiala, a’li á ché jaré napi á chéwi né ralámuli niráka a’li níwika ké neráka pé suwéwaka échi rerecho a’li bi’nosu’láwala ralámuli níwala. 
Mexican_constituition 	Artículo 2º. 	Artíkuli 2o. 
Mexican_constituition 	La Nación Mexicana es única e indivisible. 	‘Échi kawí mésiko pé bilépi jú, ké wési oméro rojána. 
Mexican_constituition 	La Nación tiene una composición pluricultural sustentada originalmente en sus pueblos indígenas que son aquellos que descienden de poblaciones que habitaban en el territorio actual del país al iniciarse la colonización y que conservan sus propias instituciones sociales, económicas, culturales y políticas, o parte de ellas. 	Suwimá kawí mésiko ‘á eperé wikanátame e’teówala mapu riká eperéeli anayáwale suwimá póbolo mapu riká chabé ki’yá kechó síachi o’lí jena’í tamó kawíwalachi mapu riká abói ‘á natuíka eperéeli chú reká nocháma, kípu méma wenomí, mapu riká o’máwame níile, a’lí chú riká natúika jawáma iséligame. 
Mexican_constituition 	La conciencia de su identidad indígena deberá ser criterio fundamental para determinar a quiénes se aplican las disposiciones sobre pueblos indígenas. 	Abói pagótame i’kiíka animéa ácha ralámuli ká kití ‘á natéami nerárami níima. 
Mexican_constituition 	Son comunidades integrantes de un pueblo indígena, aquellas que formen una unidad social, económica y cultural, asentadas en un territorio y que reconocen autoridades propias de acuerdo con sus usos y costumbres. 	Biléana póbolochi mapu wiká ka napawíka e’peré, sébale mapu abói ‘á noócha, a’lí kó ‘á chú reká o’máwa, a’lí mapu o’ná e’peréa muchúwi pakótame, mápu abói ‘á riwiíka nokísima ‘échi jáwame, mápu rigá ‘á binérale anayáwale. 
Mexican_constituition 	El derecho de los pueblos indígenas a la libre determinación se ejercerá en un marco constitucional de autonomía que asegure la unidad nacional. 	Sébale rerécho pakótame níwala abóni ikiíka nokisá re mápu rigá nulá kostitusióni kíte a’lá napawíka rejólima. 
Mexican_constituition 	El reconocimiento de los pueblos y comunidades indígenas se hará en las constituciones y leyes de las entidades federativas, las que deberán tomar en cuenta, además de los principios generales establecidos en los párrafos anteriores de este artículo, criterios etnolingüísticos y de asentamiento físico. 	Kíte a’lá machirúame níima jápi o’ná e’peré pagótame écho’ná póbolochi mápu a’lí istáro newáma ré nulalíwame a’lá i’néka oláma kostitusióni a’lá riwiíka oláma bachá anirúame, mápu wikanátame ra’icháliwa mápu o’ná e’peré pakótame. 
Mexican_constituition 	A. Esta Constitución reconoce y garantiza el derecho de los pueblos y las comunidades indígenas a la libre determinación y, en consecuencia, a la autonomía para: 	A. Ná kostitusióni kó a’lá machí a’lí ku’íro sébale rerécho mapu ‘níwi su’wába póbolo a’lí ralámuli o’máana e’peréame kíte abóni ‘nátaga a’lá ikiíka tibúma sébale abói níwala: 
Mexican_constituition 	I. Decidir sus formas internas de convivencia y organización social, económica, política y cultural. 	I. Abóni ikiíka nokiméa a’lí natúwika noocháma a’lí méma wenomí, abóni chó jawáma jáwame. 
Mexican_constituition 	II. Aplicar sus propios sistemas normativos en la regulación y solución de sus conflictos internos, sujetándose a los principios generales de esta Constitución, respetando las garantías individuales, los derechos humanos y, de manera relevante, la dignidad e integridad de las mujeres. 	II. Abóni a’lá natuwíka katewáma ra’íchale isíni karúa nokisáa pakótame, a’lá machiká mapu riká nulá kostitusióni, a’lá neráka chó sébale rerécho mapu niwí ibíli pagótame a’lá riwiíka chó u’mukí. 
Mexican_constituition 	La ley establecerá los casos y procedimientos de validación por los jueces o tribunales correspondientes. 	Nulalíwame karéwama mapu a’li u’mukí oyéripa ré échi riká ilása jáwame oyeríame. 
