Extra_Educational 	finalmente, cuenta con los niños cuántas salieron al contar prueba a  un niño para que cuente	seneanxon bakebo toponkinwe jawetirin ixon westiora bakebo tanakin toponti yoiwe
Extra_Educational 	para realizar esta tarea coordina primero con los papas de los niños	nato tee anoxon bakebaon anibo betan yoyo iwe
Extra_Educational 	los alimentos que debemos almacenar antes de la llegada de la creciente	jawekiatibo itan jene beaitian non jawekiatibo koiranti
Extra_Educational 	luego los solean en el pasto	ja pekao pastonko bariankanai
Extra_Educational 	luego léeles a los niños el poema	jaskaxon bakebo yoyo axonwe rabiti
Extra_Educational 	juntar  todas las  semillas de frutas y llevarlos a la escuela	mesko bimi berobo tsinkixon axeti xobonko bewe
Extra_Educational 	los niños	bakebo
Extra_Educational 	finalmente, entrégales a los niños sus cuadernos de trabajo y explícales cómo deben desarrollarlo	senentiain jan teeti kirika bakebo menixon jaskaakin tee akantibo jato yoiwe
Extra_Educational 	cuántas semillas tienen los collares confeccionados por los niños	bakebaon teoti akaki jaweti bimi berobo keonya iki
Extra_Educational 	canta con los niños el himno nacional	bakebo himno nacional jato bewakinwe
Extra_Educational 	el profesor explica a los niños cómo deben realizar los trabajos	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Extra_Educational 	una vez que esta lista la miel comparte con los niños echándole en sus tazones y coman juntos	moa wata pekao bakebo jaton tasomanbo menixon mishkin jawekiakinwe
Extra_Educational 	escribe en un papel y envíaselos con sus hijos los materiales que deberán traer al aula	jain jato yoiwe natoti jaweki axeti xobonko jawen bake bemanon ixon
Extra_Educational 	saca a los niños afuera y recorran la comunidad	bakebo pikoxon jema natankinwe
Extra_Educational 	ahora dales la flecha a los niños	rama benbo bakebo pia meniwe
Extra_Educational 	qué color tienen los saborizantes	jawekeska sikayarin jan piti noeatibo
Extra_Educational 	finalmente haz que los niños comenten el trabajo que han realizado	seneantiain jaskara tee akanabo bakebo yoimawe
Extra_Educational 	antes de realizar este trabajo, el profesor primero debe coordinar con el papá para que consiga los materiales para teñir la tela y pueda traerlos al aula	nato tee anonxonra westiora baken papa betan yoyo iti jake pokoti benaxon kobianxon axeti xobonko betikopi
Extra_Educational 	hazles diferentes preguntas a los niños	bakebo yokabo awe
Extra_Educational 	qué otras formas podemos elaborar con la cerámica diferentes utensilios o si no muéstrales los dibujos del cuaderno. de esta manera, ayúdalos a realizar el trabajo	jaweboribiki mapo non pikoti atipana mesko jawekiatibo iamax kirika ribojanabo oimaxon jato neskaakin tee akinwe atsa xeati
Extra_Educational 	luego siéntate con ellos y explícales cómo se saca el barro	japekao jato yakakinxon jaskaxon mapo bikani jato yoiwe
Extra_Educational 	cómo son los saborizantes para enriquecer la comida	jawekeskara jisaborin jan piti noeatibo
Extra_Educational 	qué otras cosas para cuidarnos tú conoces finalmente, vuélveles a preguntar a los niños, luego junta a los niños de esta manera	jawe wetsa jan koirametiboribiki min onana senentian bakebo yokaribiwe, ja pekao bakebo tsinikinwe neskakin
Extra_Educational 	ordena los dibujos recortados y pégalos ordenadamente	ribojobo xateabo jakon akin joyonkin taxnanwe
Extra_Educational 	luego explícales a los niños la tarea que deben realizar	jainxon bakebo yoiwe ja tee akanai
Extra_Educational 	pega los dibujos de plato en los cuadernos de cada niño y cuéntenlos, luego haz que cuenten de dos en dos, luego haz que de uno en uno hablen sobre el trabajo realizado	kencha bakebotibi ribojana kirikanin axon jato taxnanxon toponkinwe, jainxon rabebo biananamaxon tanakin toponmawe, jainxon westiora, westiorabo ja tee akanabo yoimawe
Extra_Educational 	los niños escuchan en silencio la explicación del anciano	yoiyaitian bakebaon neteshamanxon ninkatai
Extra_Educational 	en profesor da a conocer a los niños que con estos colores también se pueden pintar otras cosas	bakebo onamai neskara non sikatibaonra non mesko teebo atipanke ixon
Extra_Educational 	finalmente, entrégales el cuaderno de tareas y explícales cómo deben realizarla, mirando los dibujos, si eres niña o niño, recorta el dibujo y pégalo en orden, luego di tu nombre y su significado	senentiain jan teeti kirika menixon jaskaakin ati yoiwe, ribojobo oinwe, ainbo iamax benborin mia ixon, rama ribojo tsekaxon jakon akin joyonkin taxnanwe, jainxon min jane yoiwe itan jaki mia janeta
Extra_Educational 	coordina con los niños antes de salir con ellos a buscar a una persona con una bodega surtida	westiora joni mesko jaweki marotiaya benenaxon joi seneanwe merakin bakebo iwenoxon
Extra_Educational 	haz que los niños peguen en sus cuadernos las diferentes semillas iguales a las que vieron en su collar	bakebaon teoti akin peowa oinxon ja bimi bero keona rabe ja jisa chibamakin berobo taxnanwe
Extra_Educational 	muéstrales los árboles y luego el profesor les dice	jiwibo jato oinmawe jainxon axeamisnin jato yoiyai
