ShaShiYaYi 	parece que ya está muy lejos de Kako	Moabiresronki Kakonko kikin ani peixobo irabeke
ShaShiYaYi 	el hombre nos persigue y nos paga	Jonin noa isianka benabainxon kopiti
ShaShiYaYi 	el camina despacio	Jara kikin ishtomashoko niai
ShaShiYaYi 	si estás leyendo esta carta di que es buena	Nato wisha yoyo axon jakon akin wishaaborin ixon yoiwe
ShaShiYaYi 	puede suceder que después de algunos nombres se hable de otra cosa	Jatíribi jane pekáo ikai joiboribi iti atipanke jan tekimati joibo keská
ShaShiYaYi 	el que habla, que hable conforme a las palabras de su boca.	Jan yoyo iti joi riki noa jaskati yoyo ikai itan wishai, jaskatibora noa yoyo ikai
ShaShiYaYi 	Ahora bien, el que quiera ser el primero entre ustedes deberá ser su servidor,	Bestekin, xeati akasai joni ipaonike ichabires teeti yoai ja xeatiati, xoboai, kawiain, jema benxoai
ShaShiYaYi 	diferentes plantas para ser un buen pescador y un buen pescador para ser un buen pescador y un buen pescador para ser un buen pescador y un buen pescador para ser un buen pescador	Mesko raobo kinanti, mecha itan raya iti kopi, jiwinwaran bero xakixon, mecha itan raya iti kopi, kaxo, manxaman kawati, mecha inon ixon, rimon ininti, rome pei paxa motsaxon
ShaShiYaYi 	y en medio de ellos estaba la palabra de arriba	Jato napon iki westíora jane bebon iká joi
ShaShiYaYi 	De otra manera, ¿no habríamos dejado ya de ser una carga para nuestros enemigos? ¿No habríamos de ser una carga para nosotros mismos? No habríamos de ser una carga para nosotros mismos, sino que nos habríamos propuesto ser una carga para ustedes.	Jaskara yamaketian meskokeska jakoma noa ikeanke, jaskaayamabi iti iki non rayos shinroaresti, jaweraki akaskinbo non rayos betan noa winokeanke, jaskara iketianra en shinanai jan non axe jakon iae ikaxbi ramatian wetsa axe onnanxon en shinana iki, jakontani keska jakon ikaxmabi
ShaShiYaYi 	al ir a la pescar encuentra el primer pescado	Yomerai kaxon reken merai yapa
ShaShiYaYi 	los sembríos de los pueblos han sido dañados	Jenenra jemabaon banabo jakomabires ake
ShaShiYaYi 	Vi que ese templo era muy bonito y bonito,	Oa teotira, en oina, metsáshoko iki
ShaShiYaYi 	escribe un escrito malo	Jakomaakin wishaa joi tawishwe
ShaShiYaYi 	él compró el ají	Janra yochi marokin bike
ShaShiYaYi 	AMEWABAO	AMEWAKABAO WAI
ShaShiYaYi 	ahora voy a estudiar tu idioma	Min join yoyo iti en rama axeai
ShaShiYaYi 	porque no podían soportarlo más, pues tenían miedo de ser atrapados en su corazón.	Mananxawe takakaya ika iki atimabires yoikanai, ja akax ishton xekeyooti iketian
ShaShiYaYi 	La ley de Moisés, en efecto, constituye sumos sacerdotes a personas frágiles, mientras que la palabra de Dios, confirmada con juramento y posterior a la ley, constituye al pueblo santo un servidor público.	Ja esébora ja join yoyo ikaibo, ja joi onanaibo, jemankoshibo itan apoboribi meniai
ShaShiYaYi 	él solía hablar de las tardes	Jara ipachoai yantanbo joi
ShaShiYaYi 	no hay nada en toda la tierra que no esté sembrado, ni nada que esté sembrado en el campo.	Jawe parantabironki yamake, wai ipachoaiboronki xababichobo iki akonbireskin jenen keyoa ikax
ShaShiYaYi 	comí mucho hasta que me dio dolor de cabeza	Icha binonra en pike, porokan chexanon kaman
ShaShiYaYi 	la cerradura de la vaca se rompe cuando está puesta una semana de huevo	Ja xea xepokan raskiti iki, westiora simana bachin rakaketian
ShaShiYaYi 	Este es el mensaje que hemos oído de él en nuestras propias iglesias, en las comidas y en los trabajos que hacemos en las plazas, en las comidas y en las plazas,	Ja joibo riki non jeman netetiibi noa yoyo ikai joibo: non rarebobo betan, jeman pishtanko, yoa atinkoniax, jainoax jeman tee atinkoniax
ShaShiYaYi 	al llegar a la casa todos comieron hasta quedar satisfechos	Moa xobon nokoxonra, jatíxonbi binpish kokokanke
ShaShiYaYi 	porque la tierra ha terminado con los otros alimentos	Jenenronki yoabo keyoke
ShaShiYaYi 	una sola palabra de jerusalén y una sola palabra de dios	Joitsamanko westíorabicho ja yoiai joi ikenra ja joitsamára jabicho joitsamá akin akai
ShaShiYaYi 	me dirigí a mí mismo	Enbixbira ea rerakaake
ShaShiYaYi 	mañana debería llamar a Juan	Bakishra en wani abirati iki
ShaShiYaYi 	¿por qué está escrito eso? Absuelve lo que dice la verdad	¿Jawekopi neskara wishakanamein iki? Tasereawe ja ikon yoiyai
ShaShiYaYi 	algunas cosas no se pueden cambiar	Jatíribi joibora matsos yamake
ShaShiYaYi 	al principio de la escritura	Joibo peokotainboki ani wishakan min aka
ShaShiYaYi 	¿Qué dice este libro? Asegúrate de cuál es	¿Jaweshaman yoiyairin nato wisha? Ashta awe, jaweratorin ixon
ShaShiYaYi 	sus huevos son ofrecidos a otros	Jaton bachira wetsabo menikanai
ShaShiYaYi 	Ahora bien, en cuanto a las cosas que se consideran, este es el punto principal:	Jaráke meskókeska esébo, jaskati yoyo itibo
ShaShiYaYi 	canela, especias aromáticas, incienso, mirra, vino, aceite, flor de harina, vino agrio, aceite, flor de harina, vino agrio, aceite perfumado,	Kenchaati, kenti itan kenpoati, waxmen toroati, sintan, xeati, piti, chopa, keweati, itan keneati jainoax chopa patsati
ShaShiYaYi 	al pobre de dios que se sienta cómodo	Rarebo noixon yoashiamakin jato jaweki akinkin
ShaShiYaYi 	debemos poner en práctica lo que nos dice	Non esemeran atima yoiaibo seneanti
ShaShiYaYi 	para que en la boca de jesús se zambulle una brasa y se le corte el pelo	Jaa betonko pancha senenshoko boo tipinon ixon jainoax bestea senenshoko inon ixon
ShaShiYaYi 	como un niño recién nacido lo colocaron en su frente para que fuera bonito	Jaskaakin baken betonko pancha akana iki, metsashoko inon ixon
ShaShiYaYi 	aprende más	Miakaya axepariwe
ShaShiYaYi 	Después de la preparación de su hijo, le dará un banquete de bodas, un banquete de bodas y un banquete de bodas.	Jaskaakin jawen bake raoayona pekao, jakonshaman akin xeati motsai, iti iki parantaya tama aka, atsa xeati batashaman, ja jaketian binon xeati, isan xeati
ShaShiYaYi 	los niños se van a la ciudad de Xawanya	Bake ranonbora Xawanya jeman bokanai
ShaShiYaYi 	los nombres de los hombres y de las mujeres se hablarán en común	Jaráke janebo benbobo itanribi ainbobo janeti, jatikaxbi senenbires
ShaShiYaYi 	¿Qué diseños vemos? ¿Qué hacen las mujeres de la casa?	¿Jawekeska keneboki non oinai?? ¿Chitonnoxomein shipibo ainbobaon jawe apaonike?
