Wixarika_Corpora 	 Muchacha de cabello largo	Uka maka t+t+ 
Wixarika_Corpora 	 Artículo 2º constitucional	‘Aritikuru 2do. Xapatsie maka ‘uxa 
Wixarika_Corpora 	Como la fiesta del tambor no hay dos	Yuimakwaxapa+ hutat+ pukau'uwa
Wixarika_Corpora 	La voz de un Wixarika	Wixarika niukieya
Wixarika_Corpora 	Hermanos no a la discriminacion, juntos unidos	'iwamarixi tekwayukax+rieka, tanait+ teyuparewieka
Wixarika_Corpora 	Hermanos colaboremos para seguir conservando nuestro lugares sagrados wirikuta	'iwamarixi teputeparewieka wirikuta 'aix+a 'aneme temuxeiyanik+
Wixarika_Corpora 	 Esta Constitución reconoce y garantiza el derecho de los pueblos y las comunidades indígenas a la libre determinación y, en consecuencia, a la autonomía para 	‘Ik+ xapa xeniu huteik+pai meyeka mana nai m+raka ‘uxa tame te+teri ta’hetsiemieme, meta ta kiekari kem+tiuku wet+ka, meta kem+tiukumane yu nait+ niu y+ k+mana mem+ teyukuxaxat+wani, ya meteyuk+’h+awet+ kemem+te yuku´’h+awe xeik+a m+pa+ meteka hut+ 
Wixarika_Corpora 	Yo fui testigo de la fundacion de mi pueblo. Amo mucho a mi hija ella es mi fuerza. Tengan un exito dia hoy por ser dia de la amistad.	Meripai nepumieme kiekari mat+ari yukamatsie. Kwinimieme ne niwe nepureuye+wa hetsiena nepukawie. Hik+ tukaritsie 'aix+a xeputeu'erieka.
Wixarika_Corpora 	Eres de piel blanca y labios rojos.	'Akuts+ 'a h+xie pe'aye tusat+ 'akuts+ 'a tenie pe'ata setat+
Wixarika_Corpora 	De lo que a don Quijote le sucedió con su escudero Sancho yendo a su aldea.	Quijote kem+tikayuri Sancho yuparewiwe mat+a 'umiet+ yukié 'aye'aniké.
Wixarika_Corpora 	Aretes de peyote	HIKURI NAK+TSAYARI
Wixarika_Corpora 	Y vamos para la sierra mi compa	K+m+ri ne iwama j+ritsie
Wixarika_Corpora 	nada mas digo	xe+k+a
Wixarika_Corpora 	así es	pa+ta+
Wixarika_Corpora 	así está	pa+ta+
Wixarika_Corpora-paral_own 	ando lejos	xatewa nepuyeika
Wixarika_Corpora-paral_own 	que haces?	kepereyuriene
Wixarika_Corpora-paral_own 	Chicas y chicos etiqueten o menciona en los comentarios a tu novio, esposo, etc.	Temari, +imarixi, ukiraixi, ukaraixi, tsepa tita peti'h+K+ ena kenau'utua a tuxeri, a K+na.
Wixarika_Corpora-paral_own 	 mi cuñado	Ne kema
Wixarika_Corpora-paral_own 	 qué estés bien	'Aix+ pereu erieka 
Wixarika_Corpora-paral_own 	por qué	Ke kuta
Wixarika_Corpora-paral_own 	que nos pasó..	Ke te+y+
Wixarika_Corpora-paral_own 	que pasó	Ketiuyt
Wixarika_Corpora-paral_own 	me gusta esa mujer, como se llamara	Tsip+kanetinake ' iya 'uka, ketitewa 'aum+
Wixarika_Corpora-paral_own 	Está bien	Aix+ p+ ane
Wixarika_Corpora-paral_own 	tu esposo	A k+na
Wixarika_Corpora-paral_own 	CALLATE	KAIWA++
Wixarika_Corpora-paral_own 	soy tu novio	a tu xeri nepuhunu
Wixarika_Corpora-paral_own 	No seas mentiroso	Pekwat+ itawani
Wixarika_Corpora-paral_own 	adios	Tatakareia
Wixarika_Corpora-paral_own 	Popó 	Kwita'a
Wixarika_Corpora-paral_own 	Vela	katira
Wixarika_Corpora-paral_own 	zorro	Kauxai
Wixarika_Corpora-paral_own 	Moco	Ts+me
Wixarika_Corpora-paral_own 	Mi novia	ne tuxeri
Wixarika_Corpora-paral_own 	Buenos días	ke aku'u
Wixarika_Corpora-paral_own 	 MI HERMANO	NE MATSIKA
Wixarika_Corpora-paral_own 	Mi hermano	NE MUTA
Wixarika_Corpora-paral_own 	 Mi Hermano	Ne mat+xica
Wixarika_Corpora-paral_own 	Flor de campo	Hauri xuturi
Wixarika_Corpora-paral_own 	empachado	Huxainiado
Wixarika_Corpora-paral_own 	Buenas tardes para todos un cordial saludos gente de la sierra	Ke aku iwamarixi takié tiuyahane wa+ritsika xenan wiyani
Wixarika_Corpora-paral_own 	Buenas tardes para todas un cordial saludos gente de la sierra	Ke aku iwamarixi takié tiuyahane wa+ritsika xenan wiyani
Wixarika_Corpora-paral_own 	Dice mi mamá, que vayas a traer leña en tu burrito	ne ma paine, waniyri kenek+aimie a puritu tsie
Wixarika_Corpora-paral_own 	¿por qué lloras tanto?	kertiu kwinie petititsuaka
Wixarika_Corpora-segcorpus 	tu canoa	'a-kanuwa
Wixarika_Corpora-segcorpus 	tu caballo	'a-kawayu
Wixarika_Corpora-segcorpus 	tu casa	'a-ki
Wixarika_Corpora-segcorpus 	tu borrego viene bajando	'a-muxa p-a-ka-mie
Wixarika_Corpora-segcorpus 	tu borrego viene dando la vuelta	'a-muxa p-a-ku-mie
Wixarika_Corpora-segcorpus 	tu borrego viene entrando 	'a-muxa p-a-ta-mie
Wixarika_Corpora-segcorpus 	tu borrego viene subiendo	'a-muxa p-a-ti-mie
Wixarika_Corpora-segcorpus 	tu borrego viene saliendo	'a-muxa p-a-ya-mie
Wixarika_Corpora-segcorpus 	mi perro no es verde	'a-ts+k+ p+-ka-tsi+ra+ye
Wixarika_Corpora-segcorpus 	tu perro no es verde	'a-ts+k+ p+-ka-tsi+ra+ye
Wixarika_Corpora-segcorpus 	tu perro es blanco	'a-ts+k+ p+-tuxa
Wixarika_Corpora-segcorpus 	tu perro es rojo	'a-ts+k+ p+-xeta
Wixarika_Corpora-segcorpus 	tu perro es negro	'a-ts+k+ p+-y+wi
Wixarika_Corpora-segcorpus 	mi olla no es verde	'a-xari p+-ka-tsi+ra+ye
Wixarika_Corpora-segcorpus 	tu olla es blanca	'a-xari p+-tuxa
Wixarika_Corpora-segcorpus 	tu olla es roja	'a-xari p+-xeta
Wixarika_Corpora-segcorpus 	tu olla es negra	'a-xari p+-y+wi
Wixarika_Corpora-segcorpus 	tu estás parado aquí	'ek+ 'ena pe-puwe
Wixarika_Corpora-segcorpus 	usted está parado aquí	'ek+ 'ena pe-puwe
Wixarika_Corpora-segcorpus 	yo soy muchacha	ek+ pe-p+-'+rimari
Wixarika_Corpora-segcorpus 	yo soy un muchacho	ek+ pe-p+-temaik+
Wixarika_Corpora-segcorpus 	tu eres mujer	ek+ pe-p+-'uka
Wixarika_Corpora-segcorpus 	usted es mujer	ek+ pe-p+-'uka
Wixarika_Corpora-segcorpus 	tu eres hombre	ek+ pe-p+-'uki
Wixarika_Corpora-segcorpus 	usted es hombre	ek+ pe-p+-'uki
Wixarika_Corpora-segcorpus 	él ya se lo comió	'ek+ p-i-ta-kwai ri
Wixarika_Corpora-segcorpus 	él ya comió	'ek+ p+-ti-u-kwai
Wixarika_Corpora-segcorpus 	donde está mi perro	hakewa 'a-ts+k+
Wixarika_Corpora-segcorpus 	donde está tu olla	hakewa 'a-xari
Wixarika_Corpora-segcorpus 	el agua no está caliente	ha p+-ka-x+ka
Wixarika_Corpora-segcorpus 	No, no es nueva	hawaik+ p+-ka-hekwa
Wixarika_Corpora-segcorpus 	duerme de día	he-k+-ta pu-ku-kutsu
Wixarika_Corpora-segcorpus 	si es nueva	h+ p+-hekwa
Wixarika_Corpora-segcorpus 	esta es tu mano	'ik+ 'a-p+-mana
Wixarika_Corpora-segcorpus 	este es tu torax	'ik+ 'a-p+-tawie
Wixarika_Corpora-segcorpus 	este es mi ojo izquierdo	'ik+ he-h+xi ne-p+-'utata
Wixarika_Corpora-segcorpus 	este peyote	'ik+ hikuri
Wixarika_Corpora-segcorpus 	este pino es alto	'ik+ huku 'a-p-u-tevi
Wixarika_Corpora-segcorpus 	 este pino es chaparro 	'ik+ huku 'e-tsi-p-u-tewi
Wixarika_Corpora-segcorpus 	este camino es ancho	'ik+ huye 'a-pa-ta-yeva
Wixarika_Corpora-segcorpus 	éste es el camino malo	'ik+ huye 'axa p+-'ane
Wixarika_Corpora-segcorpus 	este camino es igual de malo como aquel	'ik+ huye 'axa p+-'ane 'iyapa+
Wixarika_Corpora-segcorpus 	este camino es angosto	'ik+ huye 'e-tsi-pa-ta-yeva
Wixarika_Corpora-segcorpus 	esta muchacha está parada aquí	'ik+ '+imari 'ena puwe
Wixarika_Corpora-segcorpus 	esta línea es larga	'ik+ 'in+ari 'a-p+-teewi
Wixarika_Corpora-segcorpus 	esta línea es corta	'ik+ 'in+ari 'e-tsi-p+-teewi
Wixarika_Corpora-segcorpus 	esta camisa es larga	'ik+ kamixa 'a-p+-teewi
Wixarika_Corpora-segcorpus 	esta camisa es corta	'ik+ kamixa 'e-tsi-p+-twwei
Wixarika_Corpora-segcorpus 	la vela está caliente	'ik+ kat+ra p+-x+ka
